0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187
1.0000005,0.566461,0.4810118,0.4810118,0.54258156,0.7753647,0.68180776,0.7627565,0.523414,0.523414,0.7498127,0.74169725,0.74169725,0.9448764,0.95200694,0.8417944,0.74130076,0.82138443,0.4810118,0.523414,0.83053726,0.68180776,0.7707594,0.6987254,0.83670795,0.4810118,0.566461,0.724353,1.0000005,0.566461,0.83709013,0.7529359,0.77618235,0.74169725,0.76486325,0.7713707,0.76785594,0.54258156,0.85398424,0.9638128,0.523414,0.68180776,0.72149485,0.54258156,0.74169725,0.8821094,0.74169725,0.81141776,0.83053726,0.7498127,0.7643874,0.7687579,0.74169725,0.7643874,0.76303375,0.9012712,0.47728127,0.47728127,0.825046,0.7099335,0.47728127,0.8505329,0.88454115,0.8814564,0.76927745,0.8765383,0.83684623,0.83670795,0.523414,0.523414,0.73908615,0.523414,0.73908615,0.76098984,0.72149485,0.8723726,0.83053726,0.7498127,0.7498127,0.58812904,0.7498127,0.58812904,0.7498127,0.8473909,0.8473909,0.8473909,0.8473909,0.54937375,0.71969676,0.92797756,0.8473909,0.69977987,0.8473909,0.8110182,0.7547178,0.7547178,0.76051,0.74169725,0.72149485,0.96586454,0.83053726,0.83053726,0.83053726,0.836666,0.8915612,0.4810118,0.8651638,0.9014528,0.76430774,0.54703784,0.4810118,0.528445,0.7498127,0.9250347,0.7498127,0.8467579,0.7498127,0.77401996,0.83670795,0.7686571,0.54258156,0.73908615,0.7535281,0.9731972,0.7498127,0.8850029,0.83670795,0.74423695,0.83670795,0.57816535,0.7750912,0.931437,0.7707594,0.7498127,0.74169725,0.74169725,0.77026963,0.68180776,0.85435504,0.78812057,0.9158231,0.7916345,0.812999,0.67644626,0.90260684,0.825046,0.5849875,0.71585053,0.76565814,0.7849666,0.58812904,0.83670795,0.51282334,0.7177354,0.83670795,0.7596824,0.54258156,0.7380253,0.8777976,0.7227236,0.7159481,0.76785594,0.4810118,0.5462127,0.51918054,0.566461,0.96757245,0.5313509,0.90214944,0.9116925,0.7750912,0.7498127,0.7707594,0.83670795,0.92041767,0.523414,0.91061497,0.89414096,0.7182004,0.5849875,0.74169725,0.8021022,0.62768257,0.900143,0.5849875,0.7121644,0.74169725,0.6520445
0.566461,1.0000002,0.80687904,0.80687904,0.767341,0.5372492,0.67473173,0.5299068,0.69828916,0.69828916,0.5211448,0.51102597,0.51102597,0.5508961,0.58681965,0.55191636,0.502111,0.46996975,0.80687904,0.69828916,0.59881115,0.67473173,0.5398418,0.48699468,0.5973491,0.80687904,1.0000002,0.46146804,0.566461,1.0000002,0.5433217,0.51989836,0.5307995,0.51102597,0.54626834,0.5296606,0.5333282,0.767341,0.5829489,0.5488886,0.69828916,0.67473173,0.47737816,0.767341,0.51102597,0.56772757,0.51102597,0.57624215,0.59881115,0.5211448,0.52671695,0.52773005,0.51102597,0.52671695,0.5223483,0.5703234,0.8076632,0.8076632,0.5820299,0.4778582,0.8076632,0.5914998,0.5566044,0.60466033,0.5484594,0.59076035,0.5880943,0.5973491,0.69828916,0.69828916,0.52933127,0.69828916,0.52933127,0.5219627,0.47737816,0.6008981,0.59881115,0.5211448,0.5211448,0.4506029,0.5211448,0.4506029,0.5211448,0.6040586,0.6040586,0.6040586,0.6040586,0.6341919,0.4732503,0.57244766,0.6040586,0.48370782,0.6040586,0.57658285,0.52230287,0.52230287,0.5230846,0.51102597,0.47737816,0.5415887,0.59881115,0.59881115,0.59881115,0.5781972,0.57449305,0.80687904,0.6008539,0.6008096,0.52487665,0.7803021,0.80687904,0.7681892,0.5211448,0.57823336,0.5211448,0.58525014,0.5211448,0.54371715,0.5973491,0.5224129,0.767341,0.52933127,0.5429281,0.53277695,0.5211448,0.5706545,0.5973491,0.5223348,0.5973491,0.3501712,0.54014057,0.5794477,0.5398418,0.5211448,0.51102597,0.51102597,0.5420544,0.67473173,0.57856107,0.55066735,0.56664824,0.5373591,0.5684489,0.8950633,0.54582506,0.5820299,0.6868149,0.48703066,0.534084,0.5409835,0.4506029,0.5973491,0.6863866,0.48799998,0.5973491,0.52162486,0.767341,0.5315232,0.54898167,0.80888784,0.46251035,0.5333282,0.80687904,0.6995244,0.8957179,1.0000002,0.5265029,0.701576,0.5919095,0.583125,0.54014057,0.5211448,0.5398418,0.5973491,0.56131047,0.69828916,0.51350194,0.56439734,0.49175593,0.6868149,0.51102597,0.5205268,0.9303628,0.5985733,0.6868149,0.45847794,0.51102597,0.8314887
0.4810118,0.80687904,0.9999998,0.9999998,0.8840084,0.5875021,0.62642014,0.5776574,0.85250294,0.85250294,0.5674383,0.5737887,0.5737887,0.46367684,0.48605776,0.5213985,0.5856627,0.40089148,0.9999998,0.85250294,0.526782,0.62642014,0.5682779,0.5482595,0.521794,0.9999998,0.80687904,0.44729838,0.4810118,0.80687904,0.5138963,0.5684941,0.5739387,0.5737887,0.57626635,0.5619838,0.56553864,0.8840084,0.52956873,0.4885682,0.85250294,0.62642014,0.55044997,0.8840084,0.5737887,0.48651785,0.5737887,0.5477147,0.526782,0.5674383,0.5756233,0.5801191,0.5737887,0.5756233,0.57551587,0.49138927,0.96245915,0.96245915,0.50909173,0.47461691,0.96245915,0.54107994,0.5220386,0.51010865,0.5643838,0.519952,0.5525129,0.521794,0.85250294,0.85250294,0.5598042,0.85250294,0.5598042,0.57475984,0.55044997,0.53026545,0.526782,0.5674383,0.5674383,0.5117953,0.5674383,0.5117953,0.5674383,0.51444805,0.51444805,0.51444805,0.51444805,0.72023493,0.46520022,0.5308597,0.51444805,0.53344977,0.51444805,0.52234244,0.57331866,0.57331866,0.5710275,0.5737887,0.55044997,0.44952172,0.526782,0.526782,0.526782,0.53269047,0.51658595,0.9999998,0.5297297,0.51171595,0.57376283,0.86877656,0.9999998,0.7939809,0.5674383,0.50031203,0.5674383,0.5330481,0.5674383,0.57255495,0.521794,0.5807287,0.8840084,0.5598042,0.5686023,0.44454283,0.5674383,0.4744162,0.521794,0.553406,0.521794,0.41040665,0.562606,0.53481174,0.5682779,0.5674383,0.5737887,0.5737887,0.5658732,0.62642014,0.48176196,0.58506095,0.5267571,0.52776325,0.55668205,0.69847876,0.46096438,0.50909173,0.7482919,0.5329105,0.55677664,0.5527626,0.5117953,0.521794,0.7518301,0.5623618,0.521794,0.57207406,0.8840084,0.4732606,0.47004926,0.6291391,0.4152181,0.56553864,0.9999998,0.8343691,0.68649083,0.80687904,0.4498824,0.7626293,0.5318749,0.4812144,0.562606,0.5674383,0.5682779,0.521794,0.455441,0.85250294,0.42671898,0.4679097,0.56740963,0.7482919,0.5737887,0.53416246,0.7223253,0.51773757,0.7482919,0.5267265,0.5737887,0.70784205
0.4810118,0.80687904,0.9999998,0.9999998,0.8840084,0.5875021,0.62642014,0.5776574,0.85250294,0.85250294,0.5674383,0.5737887,0.5737887,0.46367684,0.48605776,0.5213985,0.5856627,0.40089148,0.9999998,0.85250294,0.526782,0.62642014,0.5682779,0.5482595,0.521794,0.9999998,0.80687904,0.44729838,0.4810118,0.80687904,0.5138963,0.5684941,0.5739387,0.5737887,0.57626635,0.5619838,0.56553864,0.8840084,0.52956873,0.4885682,0.85250294,0.62642014,0.55044997,0.8840084,0.5737887,0.48651785,0.5737887,0.5477147,0.526782,0.5674383,0.5756233,0.5801191,0.5737887,0.5756233,0.57551587,0.49138927,0.96245915,0.96245915,0.50909173,0.47461691,0.96245915,0.54107994,0.5220386,0.51010865,0.5643838,0.519952,0.5525129,0.521794,0.85250294,0.85250294,0.5598042,0.85250294,0.5598042,0.57475984,0.55044997,0.53026545,0.526782,0.5674383,0.5674383,0.5117953,0.5674383,0.5117953,0.5674383,0.51444805,0.51444805,0.51444805,0.51444805,0.72023493,0.46520022,0.5308597,0.51444805,0.53344977,0.51444805,0.52234244,0.57331866,0.57331866,0.5710275,0.5737887,0.55044997,0.44952172,0.526782,0.526782,0.526782,0.53269047,0.51658595,0.9999998,0.5297297,0.51171595,0.57376283,0.86877656,0.9999998,0.7939809,0.5674383,0.50031203,0.5674383,0.5330481,0.5674383,0.57255495,0.521794,0.5807287,0.8840084,0.5598042,0.5686023,0.44454283,0.5674383,0.4744162,0.521794,0.553406,0.521794,0.41040665,0.562606,0.53481174,0.5682779,0.5674383,0.5737887,0.5737887,0.5658732,0.62642014,0.48176196,0.58506095,0.5267571,0.52776325,0.55668205,0.69847876,0.46096438,0.50909173,0.7482919,0.5329105,0.55677664,0.5527626,0.5117953,0.521794,0.7518301,0.5623618,0.521794,0.57207406,0.8840084,0.4732606,0.47004926,0.6291391,0.4152181,0.56553864,0.9999998,0.8343691,0.68649083,0.80687904,0.4498824,0.7626293,0.5318749,0.4812144,0.562606,0.5674383,0.5682779,0.521794,0.455441,0.85250294,0.42671898,0.4679097,0.56740963,0.7482919,0.5737887,0.53416246,0.7223253,0.51773757,0.7482919,0.5267265,0.5737887,0.70784205
0.54258156,0.767341,0.8840084,0.8840084,1.0000001,0.6346909,0.6739507,0.62458754,0.89427936,0.89427936,0.6241854,0.62942123,0.62942123,0.5158706,0.5462953,0.5698966,0.6009572,0.44386384,0.8840084,0.89427936,0.6026155,0.6739507,0.6262591,0.5791284,0.5935614,0.8840084,0.767341,0.5051306,0.54258156,0.767341,0.5644089,0.61777353,0.63565415,0.62942123,0.6402668,0.6331653,0.63657206,1.0000001,0.6003046,0.54356277,0.89427936,0.6739507,0.58427745,1.0000001,0.62942123,0.55414444,0.62942123,0.62747097,0.6026155,0.6241854,0.6306894,0.62768936,0.62942123,0.6306894,0.62903935,0.5607677,0.86680657,0.86680657,0.5888041,0.5266938,0.86680657,0.61797976,0.5736246,0.5819967,0.63555133,0.59218025,0.62660533,0.5935614,0.89427936,0.89427936,0.6210381,0.89427936,0.6210381,0.6259212,0.58427745,0.6057062,0.6026155,0.6241854,0.6241854,0.56016374,0.6241854,0.56016374,0.6241854,0.5897157,0.5897157,0.5897157,0.5897157,0.72257805,0.5132525,0.5753454,0.5897157,0.5690047,0.5897157,0.58543026,0.6210637,0.6210637,0.62587583,0.62942123,0.58427745,0.5090014,0.6026155,0.6026155,0.6026155,0.6099567,0.5938364,0.8840084,0.60589504,0.5842031,0.62986827,0.8626607,0.8840084,0.79225475,0.6241854,0.56875974,0.6241854,0.6056623,0.6241854,0.6265676,0.5935614,0.6352351,1.0000001,0.6210381,0.63511664,0.5080822,0.6241854,0.5429941,0.5935614,0.61187553,0.5935614,0.43677843,0.624802,0.58183175,0.6262591,0.6241854,0.62942123,0.62942123,0.6254668,0.6739507,0.55770236,0.6559732,0.58689034,0.5746536,0.6353854,0.7251692,0.50962037,0.5888041,0.8925118,0.58346987,0.6314642,0.6270486,0.56016374,0.5935614,0.74646527,0.598927,0.5935614,0.6172802,1.0000001,0.55802774,0.5378268,0.7391532,0.44917402,0.63657206,0.8840084,0.90577286,0.6509646,0.767341,0.50884163,0.7647542,0.6065741,0.55812603,0.624802,0.6241854,0.6262591,0.5935614,0.5290656,0.89427936,0.47638014,0.5339345,0.6035906,0.8925118,0.62942123,0.57303584,0.7354421,0.5918812,0.8925118,0.56286275,0.62942123,0.7083434
0.7753647,0.5372492,0.5875021,0.5875021,0.6346909,0.99999976,0.5129206,0.9523824,0.6268125,0.6268125,0.9327223,0.9235306,0.9235306,0.73699117,0.8128525,0.8698825,0.89254594,0.72344524,0.5875021,0.6268125,0.9070805,0.5129206,0.9576523,0.8843812,0.90353173,0.5875021,0.5372492,0.811692,0.7753647,0.5372492,0.8426039,0.9409427,0.96891,0.9235306,0.9148395,0.9279078,0.91756606,0.6346909,0.9143352,0.80870795,0.6268125,0.5129206,0.89175713,0.6346909,0.9235306,0.85656404,0.9235306,0.90297395,0.9070805,0.9327223,0.9592005,0.9584396,0.9235306,0.9592005,0.95836145,0.8555071,0.57266563,0.57266563,0.8704751,0.826127,0.57266563,0.8869574,0.8654381,0.83909756,0.9120146,0.85488516,0.88284314,0.90353173,0.6268125,0.6268125,0.9086158,0.6268125,0.9086158,0.9560404,0.89175713,0.8972055,0.9070805,0.9327223,0.9327223,0.70849806,0.9327223,0.70849806,0.9327223,0.8896229,0.8896229,0.8896229,0.8896229,0.62726915,0.7642636,0.8661929,0.8896229,0.8795587,0.8896229,0.8991606,0.94901025,0.94901025,0.9562567,0.9235306,0.89175713,0.76830155,0.9070805,0.9070805,0.9070805,0.9231466,0.87338394,0.5875021,0.9065372,0.8372719,0.95287025,0.6189254,0.5875021,0.63299227,0.9327223,0.8420925,0.9327223,0.9210483,0.9327223,0.9567342,0.90353173,0.9654457,0.6346909,0.9086158,0.93014574,0.75337464,0.9327223,0.81963915,0.90353173,0.9177174,0.90353173,0.69413775,0.94799876,0.8683148,0.9576523,0.9327223,0.9235306,0.9235306,0.94862205,0.5129206,0.8359807,0.94718516,0.85097206,0.8738067,0.8973295,0.5180789,0.7619679,0.8704751,0.66297656,0.886637,0.90758216,0.9175063,0.70849806,0.90353173,0.57567585,0.906893,0.90353173,0.9478934,0.6346909,0.77882504,0.82093906,0.5933721,0.5650654,0.91756606,0.5875021,0.6544503,0.49800053,0.5372492,0.72171116,0.59843475,0.87188554,0.8207649,0.94799876,0.9327223,0.9576523,0.90353173,0.8036939,0.6268125,0.69629645,0.8315966,0.9142958,0.66297656,0.9235306,0.8926189,0.56303066,0.8452907,0.66297656,0.87089956,0.9235306,0.5699185
0.68180776,0.67473173,0.62642014,0.62642014,0.6739507,0.5129206,0.9999997,0.4870693,0.6446239,0.6446239,0.46944582,0.47580606,0.47580606,0.67940146,0.66442597,0.5610523,0.49865174,0.51688194,0.62642014,0.6446239,0.5714016,0.9999997,0.48928428,0.4239965,0.56611127,0.62642014,0.67473173,0.43997982,0.68180776,0.67473173,0.5598347,0.4857803,0.5019361,0.47580606,0.5104032,0.49779153,0.49421978,0.6739507,0.5527697,0.67704856,0.6446239,0.9999997,0.46483728,0.6739507,0.47580606,0.6158728,0.47580606,0.5398363,0.5714016,0.46944582,0.4863489,0.49290967,0.47580606,0.4863489,0.4896248,0.61086196,0.61412686,0.61412686,0.55783707,0.42987216,0.61412686,0.5628055,0.55541706,0.611693,0.49296203,0.60974574,0.5527983,0.56611127,0.6446239,0.6446239,0.47978514,0.6446239,0.47978514,0.5012219,0.46483728,0.59814835,0.5714016,0.46944582,0.46944582,0.43853298,0.46944582,0.43853298,0.46944582,0.58744735,0.58744735,0.58744735,0.58744735,0.6203072,0.49105412,0.62995964,0.58744735,0.43306696,0.58744735,0.5360036,0.47921005,0.47921005,0.48177058,0.47580606,0.46483728,0.65689254,0.5714016,0.5714016,0.5714016,0.55571914,0.6488341,0.62642014,0.5933049,0.62664884,0.48985088,0.6983133,0.62642014,0.63607466,0.46944582,0.6824987,0.46944582,0.5537902,0.46944582,0.50588864,0.56611127,0.4941082,0.6739507,0.47978514,0.49810335,0.6727848,0.46944582,0.6284514,0.56611127,0.47308505,0.56611127,0.3418254,0.49268672,0.6394378,0.48928428,0.46944582,0.47580606,0.47580606,0.4963963,0.9999997,0.5636869,0.5279096,0.6214856,0.50182253,0.5553954,0.7477443,0.5924189,0.55783707,0.6196198,0.45439893,0.4850199,0.48673165,0.43853298,0.56611127,0.63410044,0.45948434,0.56611127,0.4839729,0.6739507,0.5276693,0.59170455,0.7476967,0.6195891,0.49421978,0.62642014,0.64953923,0.57217085,0.67473173,0.6833514,0.6321374,0.6320506,0.6525786,0.49268672,0.46944582,0.48928428,0.56611127,0.63748246,0.6446239,0.6657913,0.62049013,0.44373927,0.6196198,0.47580606,0.5009144,0.7218552,0.63128644,0.6196198,0.44252777,0.47580606,0.7234601
0.7627565,0.5299068,0.5776574,0.5776574,0.62458754,0.9523824,0.4870693,1.0,0.6342563,0.6342563,0.9601034,0.959604,0.959604,0.71259654,0.79921556,0.84458137,0.8840916,0.6984246,0.5776574,0.6342563,0.888128,0.4870693,0.9767382,0.9265694,0.88512474,0.5776574,0.5299068,0.80921495,0.7627565,0.5299068,0.8274218,0.97459096,0.9682317,0.959604,0.93859106,0.935035,0.926756,0.62458754,0.89881074,0.804522,0.6342563,0.4870693,0.9215378,0.62458754,0.959604,0.85102654,0.959604,0.89154285,0.888128,0.9601034,0.99066126,0.9895658,0.959604,0.99066126,0.9859741,0.85315645,0.5669931,0.5669931,0.85339653,0.8091509,0.5669931,0.87754583,0.8478202,0.82620776,0.9109584,0.84056735,0.8750784,0.88512474,0.6342563,0.6342563,0.9259312,0.6342563,0.9259312,0.97386223,0.9215378,0.88527066,0.888128,0.9601034,0.9601034,0.73878753,0.9601034,0.73878753,0.9601034,0.8708382,0.8708382,0.8708382,0.8708382,0.6166598,0.7722602,0.87020326,0.8708382,0.90947896,0.8708382,0.8577284,0.99511945,0.99511945,0.99171424,0.959604,0.9215378,0.7654868,0.888128,0.888128,0.888128,0.9061516,0.85806274,0.5776574,0.8879895,0.8241916,0.9829067,0.59177125,0.5776574,0.612314,0.9601034,0.83546525,0.9601034,0.9029548,0.9601034,0.96003914,0.88512474,0.9800838,0.62458754,0.9259312,0.935575,0.7543079,0.9601034,0.8046019,0.88512474,0.927926,0.88512474,0.7383226,0.94507354,0.87299955,0.9767382,0.9601034,0.959604,0.959604,0.94627684,0.4870693,0.81705457,0.94010067,0.8431928,0.85031825,0.8766006,0.4987032,0.73169875,0.85339653,0.6684967,0.92545974,0.90816617,0.9109734,0.73878753,0.88512474,0.5652299,0.92859983,0.88512474,0.99379134,0.62458754,0.7790537,0.78996193,0.5904112,0.54565036,0.926756,0.5776574,0.6494725,0.48562673,0.5299068,0.7194885,0.5848794,0.8602094,0.8118522,0.94507354,0.9601034,0.9767382,0.88512474,0.79405123,0.6342563,0.6678425,0.8242495,0.95804465,0.6684967,0.959604,0.87461203,0.54455423,0.83425105,0.6684967,0.90394443,0.959604,0.5398481
0.523414,0.69828916,0.85250294,0.85250294,0.89427936,0.6268125,0.6446239,0.6342563,0.9999999,0.9999999,0.6323091,0.64941436,0.64941436,0.50398636,0.528371,0.55725473,0.62368137,0.43607634,0.85250294,0.9999999,0.5702545,0.6446239,0.61929345,0.61994064,0.56493384,0.85250294,0.69828916,0.52470505,0.523414,0.69828916,0.5529367,0.63786095,0.6262225,0.64941436,0.6195865,0.60866857,0.61005104,0.89427936,0.5705794,0.53748965,0.9999999,0.6446239,0.6340234,0.89427936,0.64941436,0.5395345,0.64941436,0.58033264,0.5702545,0.6323091,0.6333462,0.63408536,0.64941436,0.6333462,0.6403241,0.5327728,0.8609386,0.8609386,0.5527054,0.53252125,0.8609386,0.58000994,0.5494903,0.537316,0.60991955,0.55402184,0.57518166,0.56493384,0.9999999,0.9999999,0.6305542,0.9999999,0.6305542,0.6393983,0.6340234,0.58060247,0.5702545,0.6323091,0.6323091,0.64933586,0.6323091,0.64933586,0.6323091,0.56303895,0.56303895,0.56303895,0.56303895,0.7510134,0.54414505,0.577279,0.56303895,0.605924,0.56303895,0.5653464,0.63625085,0.63625085,0.62953544,0.64941436,0.6340234,0.49664274,0.5702545,0.5702545,0.5702545,0.5751443,0.5692055,0.85250294,0.5759858,0.54307425,0.6397563,0.8409365,0.85250294,0.7765901,0.6323091,0.5524135,0.6323091,0.5730128,0.6323091,0.6267416,0.56493384,0.6342368,0.89427936,0.6305542,0.62889194,0.49839664,0.6323091,0.521906,0.56493384,0.6165479,0.56493384,0.503163,0.6165973,0.57782435,0.61929345,0.6323091,0.64941436,0.64941436,0.6137953,0.6446239,0.51914096,0.6284882,0.5620671,0.5548743,0.5890702,0.6596829,0.4911751,0.5527054,0.81944937,0.6194802,0.60052204,0.6012707,0.64933586,0.56493384,0.7083217,0.6306915,0.56493384,0.63137174,0.89427936,0.54050356,0.51244706,0.6667844,0.4491341,0.61005104,0.85250294,0.9407464,0.6038681,0.69828916,0.50539184,0.7401438,0.5649168,0.52551395,0.6165973,0.6323091,0.61929345,0.56493384,0.504482,0.9999999,0.47005966,0.51851064,0.63159263,0.81944937,0.64941436,0.5664582,0.7067147,0.5466591,0.81944937,0.6142979,0.64941436,0.7182853
0.523414,0.69828916,0.85250294,0.85250294,0.89427936,0.6268125,0.6446239,0.6342563,0.9999999,0.9999999,0.6323091,0.64941436,0.64941436,0.50398636,0.528371,0.55725473,0.62368137,0.43607634,0.85250294,0.9999999,0.5702545,0.6446239,0.61929345,0.61994064,0.56493384,0.85250294,0.69828916,0.52470505,0.523414,0.69828916,0.5529367,0.63786095,0.6262225,0.64941436,0.6195865,0.60866857,0.61005104,0.89427936,0.5705794,0.53748965,0.9999999,0.6446239,0.6340234,0.89427936,0.64941436,0.5395345,0.64941436,0.58033264,0.5702545,0.6323091,0.6333462,0.63408536,0.64941436,0.6333462,0.6403241,0.5327728,0.8609386,0.8609386,0.5527054,0.53252125,0.8609386,0.58000994,0.5494903,0.537316,0.60991955,0.55402184,0.57518166,0.56493384,0.9999999,0.9999999,0.6305542,0.9999999,0.6305542,0.6393983,0.6340234,0.58060247,0.5702545,0.6323091,0.6323091,0.64933586,0.6323091,0.64933586,0.6323091,0.56303895,0.56303895,0.56303895,0.56303895,0.7510134,0.54414505,0.577279,0.56303895,0.605924,0.56303895,0.5653464,0.63625085,0.63625085,0.62953544,0.64941436,0.6340234,0.49664274,0.5702545,0.5702545,0.5702545,0.5751443,0.5692055,0.85250294,0.5759858,0.54307425,0.6397563,0.8409365,0.85250294,0.7765901,0.6323091,0.5524135,0.6323091,0.5730128,0.6323091,0.6267416,0.56493384,0.6342368,0.89427936,0.6305542,0.62889194,0.49839664,0.6323091,0.521906,0.56493384,0.6165479,0.56493384,0.503163,0.6165973,0.57782435,0.61929345,0.6323091,0.64941436,0.64941436,0.6137953,0.6446239,0.51914096,0.6284882,0.5620671,0.5548743,0.5890702,0.6596829,0.4911751,0.5527054,0.81944937,0.6194802,0.60052204,0.6012707,0.64933586,0.56493384,0.7083217,0.6306915,0.56493384,0.63137174,0.89427936,0.54050356,0.51244706,0.6667844,0.4491341,0.61005104,0.85250294,0.9407464,0.6038681,0.69828916,0.50539184,0.7401438,0.5649168,0.52551395,0.6165973,0.6323091,0.61929345,0.56493384,0.504482,0.9999999,0.47005966,0.51851064,0.63159263,0.81944937,0.64941436,0.5664582,0.7067147,0.5466591,0.81944937,0.6142979,0.64941436,0.7182853
