Taraf,Hadith Count,Best Distribution Name,Best Dist Params,Best Fit Metrics,Similarity Metric
852,119,exponpow,"(193892727.82232654, -28857371.57812246, 28857372.487033635)","{'AIC': -7800.724823746238, 'BIC': -7780.154840935186}",CS
760,122,exponpow,"(357454.3354002272, -40628.5097128407, 40629.435794455)","{'AIC': -11919.995685721315, 'BIC': -11899.275692492005}",CS
636,138,weibull_min,"(826737584.9748168, -44119723.3431841, 44119724.2465777)","{'AIC': -25235.950041063792, 'BIC': -25214.487778772516}",CS
1360,69,weibull_min,"(7.573857615587052, 0.4672079901921159, 0.4334110827100307)","{'AIC': -6379.640182120776, 'BIC': -6362.358781033136}",CS
1950,59,exponpow,"(66479195.1802669, -6525706.509952618, 6525707.423738198)","{'AIC': -3470.8591186700114, 'BIC': -3454.5246188483347}",CS
380,188,exponpow,"(2.344509556192003, 0.33570510079247023, 0.5594892579399948)","{'AIC': -16963.014921951395, 'BIC': -16939.69171175402}",CS
1557,66,exponpow,"(1.7100679850399287, 0.36445938635840525, 0.5052640744803056)","{'AIC': -1732.2069699201588, 'BIC': -1715.1942854260724}",CS
2762,33,weibull_min,"(10.778421094336473, 0.49540758537519936, 0.4160427309518405)","{'AIC': -1832.0432548026783, 'BIC': -1819.2359659515596}",CS
632,131,exponpow,"(2.08165212984294, 0.34295917919075736, 0.5402038437371648)","{'AIC': -7594.174881249213, 'BIC': -7573.026127469923}",CS
876,107,exponpow,"(305228020.7589634, -24860163.41206792, 24860164.343593694)","{'AIC': -13590.090937126297, 'BIC': -13570.161574882255}",CS
469,177,weibull_min,"(2279529.485168961, -164492.245756727, 164493.14551801357)","{'AIC': -28732.410898653012, 'BIC': -28709.450439011856}",CS
611,132,exponpow,"(165112763.9164493, -10120517.122730207, 10120518.058741305)","{'AIC': -26482.788939268557, 'BIC': -26461.594383072876}",CS
473,170,exponpow,"(1.7109149769335905, 0.30968595282556327, 0.5987761474814381)","{'AIC': -6576.404643752376, 'BIC': -6553.686993838135}",CS
2066,41,exponpow,"(49694841.7632125, -8366997.294538524, 8366998.25421728)","{'AIC': -671.001610381075, 'BIC': -656.8736973603001}",CS
402,199,weibull_min,"(448738357.87134504, -14450839.424737578, 14450840.353929779)","{'AIC': -71702.41525483651, 'BIC': -71678.74998081193}",CS
3033,31,weibull_min,"(11911951.023998275, -287672.71050667606, 287673.6607925718)","{'AIC': -1988.4473806492747, 'BIC': -1976.0212684325127}",CS
479,169,exponpow,"(1.5352579708545142, 0.4001106400839587, 0.4764146903606559)","{'AIC': -12309.137547116283, 'BIC': -12286.455400574983}",CS
2893,33,exponpow,"(1.9139174635590683, 0.28163316312319914, 0.5844028653317994)","{'AIC': -320.7679914222165, 'BIC': -307.9607025710977}",CS
1448,69,exponpow,"(9405.492995134879, -609.6228362804038, 610.5736678803024)","{'AIC': -6356.657260387436, 'BIC': -6339.375859299796}",CS
720,133,exponpow,"(5.520330871311499, 0.057665829703663934, 0.8275436451715181)","{'AIC': -13190.0435660374, 'BIC': -13168.803554426657}",CS
830,107,exponpow,"(129515197.29828367, -13190254.06117901, 13190254.998555282)","{'AIC': -10883.300203432245, 'BIC': -10863.370841188203}",CS
2177,82,exponpow,"(45790800.48500224, -8134921.47175201, 8134922.3912095465)","{'AIC': -2462.3684938823912, 'BIC': -2444.044430218261}",CS
2095,38,exponpow,"(2.768652725059016, 0.3282240098920314, 0.5786663960938973)","{'AIC': -774.324967364033, 'BIC': -760.658896688601}",CS
1876,48,exponpow,"(1437.5969634575067, -112.14833735538457, 113.08621322387768)","{'AIC': -2834.4116199009245, 'BIC': -2819.3270156047506}",CS
843,87,exponpow,"(97517360.93382925, -14285042.096540121, 14285043.006365053)","{'AIC': -4255.127888186135, 'BIC': -4236.446563483091}",CS
1258,84,weibull_min,"(5.0769250776299675, 0.7489837410507634, 0.1717532343937499)","{'AIC': -13424.104769715113, 'BIC': -13405.635239036874}",CS
809,90,exponpow,"(1355122590.8188248, -126587787.50251102, 126587788.42698288)","{'AIC': -7723.513012001993, 'BIC': -7704.6271154234855}",CS
547,163,exponpow,"(647682839.6341033, -38194359.15500978, 38194360.100056395)","{'AIC': -40032.65915737557, 'BIC': -40010.19455930914}",CS
706,153,exponpow,"(1.6126683783668416, 0.2740765202408912, 0.5814391928275753)","{'AIC': -5896.428346427655, 'BIC': -5874.344832642619}",CS
