Taraf,Hadith Count,Best Distribution Name,Best Dist Params,Best Fit Metrics,Similarity Metric
852,119,gamma,"(6.789873592644302, -0.9427270188045989, 1.9179721942854306)","{'AIC': 41808.91769823528, 'BIC': 41829.48768104633}",ED
760,122,gamma,"(6.403420237613637, -0.3158821227804742, 1.6888388209917784)","{'AIC': 41594.532841200635, 'BIC': 41615.25283442994}",ED
636,138,gamma,"(27.63284284312295, -4.82397635594312, 0.49799490930353474)","{'AIC': 44796.2646002788, 'BIC': 44817.72686257008}",ED
1360,69,weibull_min,"(5.870656842319308, -4.065602856081529, 13.973579994584043)","{'AIC': 10983.709767307007, 'BIC': 11000.991168394648}",ED
1950,59,gamma,"(7.597852249044974, 1.3713430146545509, 1.195443593899141)","{'AIC': 8787.02254480813, 'BIC': 8803.357044629805}",ED
380,188,weibull_min,"(4.96685976486135, -9.25763606717258, 23.950208821575757)","{'AIC': 107104.31968111967, 'BIC': 107127.64289131704}",ED
1557,66,weibull_min,"(3.370825650348649, -1.2590758320440851, 16.888976593865834)","{'AIC': 13014.556855992127, 'BIC': 13031.569540486213}",ED
2762,33,norm,"(8.200615007954546, 1.808704331895235)","{'AIC': 2128.1960432868846, 'BIC': 2136.734235854297}",ED
632,131,weibull_min,"(3.955660801904843, -4.313058457390586, 19.294198746786485)","{'AIC': 51579.06366132303, 'BIC': 51600.21241510232}",ED
876,107,gamma,"(13.17657439575547, -1.2640757447583204, 0.8186353953304901)","{'AIC': 28159.79459488248, 'BIC': 28179.723957126524}",ED
469,177,gamma,"(6.822749132476874, -0.0853330742532395, 1.4256184859495482)","{'AIC': 83586.79280024927, 'BIC': 83609.75325989042}",ED
611,132,norm,"(8.682035590049734, 2.6677915694889447)","{'AIC': 41508.07745350116, 'BIC': 41522.207157631616}",ED
473,170,exponpow,"(0.22379897139808458, -1.9673491030587008e-26, 2.8648450274017874)","{'AIC': 81802.73844511411, 'BIC': 81825.45609502835}",ED
2066,41,exponpow,"(0.2517780614821189, -7.858461671923672e-26, 2.911909266207858)","{'AIC': -5652.0361610771815, 'BIC': -5637.908248056407}",ED
402,199,gamma,"(20.4778531443825, -0.7131486028218095, 0.4094269051401079)","{'AIC': 79564.01178484352, 'BIC': 79587.6770588681}",ED
3033,31,gamma,"(72.81082417414085, -6.936451052657733, 0.18383396432048615)","{'AIC': 1740.0359980178896, 'BIC': 1752.4621102346516}",ED
479,169,weibull_min,"(146141383.79511797, -631751244.7787375, 631751261.1925323)","{'AIC': 86768.83285424396, 'BIC': 86791.51500078525}",ED
2893,33,weibull_min,"(2.80630697925265, 0.4885851100231693, 15.684986023521011)","{'AIC': 3284.335275060126, 'BIC': 3297.142563911245}",ED
1448,69,gamma,"(4.951363838472732, 1.235348334449988, 1.4112077793243039)","{'AIC': 11700.437516234813, 'BIC': 11717.718917322454}",ED
720,133,gamma,"(22.084004337277534, -4.8788735759117365, 0.7710177340237516)","{'AIC': 47250.17653948428, 'BIC': 47271.416551095026}",ED
830,107,gamma,"(11.855846445299456, -3.430176628250287, 1.1055708587715658)","{'AIC': 30935.58718353867, 'BIC': 30955.516545782713}",ED
2177,82,weibull_min,"(2.4942166191968127, -0.9587770865443677, 15.327481469186363)","{'AIC': 21029.11200254574, 'BIC': 21047.43606620987}",ED
2095,38,weibull_min,"(6.951230292792216, -15.041622758622026, 30.11737704930853)","{'AIC': 4184.5709082964695, 'BIC': 4198.236978971901}",ED
1876,48,gamma,"(14.691940980482974, -2.5082507294646117, 0.7789624832832287)","{'AIC': 5622.80272625231, 'BIC': 5637.887330548484}",ED
843,87,gamma,"(8.956247355760315, -3.0129282436400597, 1.6695190788806777)","{'AIC': 22372.533912434927, 'BIC': 22391.21523713797}",ED
1258,84,weibull_min,"(8.253040866229174, -3.9588620071593423, 12.572103456412059)","{'AIC': 13331.645796188195, 'BIC': 13350.115326866435}",ED
809,90,gamma,"(7.62841722640743, -0.1347897988501202, 1.3643399652923152)","{'AIC': 21636.178570274955, 'BIC': 21655.064466853462}",ED
547,163,gamma,"(11.130497411749504, -0.14886036119264232, 0.7635227885506413)","{'AIC': 61356.204114093896, 'BIC': 61378.66871216033}",ED
706,153,weibull_min,"(109566741.34155802, -501679366.8635834, 501679385.36880326)","{'AIC': 72672.03300286725, 'BIC': 72694.11651665228}",ED
