Taraf,Hadith Count,Best Distribution Name,Best Dist Params,Best Fit Metrics,Similarity Metric
852,119,exponpow,"(128134025.3068099, -19227213.354268454, 19227214.263058342)","{'AIC': -7801.355478094045, 'BIC': -7780.785495282993}",CS
760,122,exponpow,"(40827.46745630186, -4636.596544723539, 4637.522898064732)","{'AIC': -11919.829863420644, 'BIC': -11899.109870191334}",CS
636,138,weibull_min,"(384135638.83946574, -20481157.728220664, 20481158.63163425)","{'AIC': -25235.957594232077, 'BIC': -25214.4953319408}",CS
1360,69,weibull_min,"(7.573882718869001, 0.4672064956880289, 0.4334126927886928)","{'AIC': -6379.640495603212, 'BIC': -6362.359094515572}",CS
1950,59,exponpow,"(82645715.92625174, -8091740.233618168, 8091741.147441981)","{'AIC': -3470.87563544581, 'BIC': -3454.5411356241334}",CS
380,188,exponpow,"(2.344509556192003, 0.335705137520047, 0.5594892579399948)","{'AIC': -16963.014552905966, 'BIC': -16939.691342708593}",CS
1557,66,exponpow,"(1.7100679850399287, 0.3644594127780003, 0.5052640744803056)","{'AIC': -1732.207042400081, 'BIC': -1715.1943579059946}",CS
2762,33,weibull_min,"(10.778476346361124, 0.4954054290608361, 0.4160449147496242)","{'AIC': -1832.0433038537844, 'BIC': -1819.2360150026657}",CS
632,131,exponpow,"(2.0817051273131435, 0.3429555122955632, 0.5402073956018113)","{'AIC': -7594.174804600987, 'BIC': -7573.026050821697}",CS
876,107,exponpow,"(136422837.09705657, -11116667.18373856, 11116668.11525635)","{'AIC': -13590.093212901187, 'BIC': -13570.163850657145}",CS
469,177,exponpow,"(97.37463912980633, -7.9709273659207, 8.906017373399013)","{'AIC': -31854.50880036579, 'BIC': -31831.548340724636}",CS
611,132,exponpow,"(269721386.81767106, -16514109.432549043, 16514110.36857532)","{'AIC': -26482.767283396086, 'BIC': -26461.572727200404}",CS
473,170,exponpow,"(1.7109149769335905, 0.3096859273045839, 0.5987761474814381)","{'AIC': -6576.40361853728, 'BIC': -6553.685968623039}",CS
2066,41,exponpow,"(30565874.913978107, -5149241.30262523, 5149242.262302334)","{'AIC': -671.0020248810438, 'BIC': -656.8741118602688}",CS
402,199,weibull_min,"(510356520.3568924, -16437256.096962456, 16437257.02615298)","{'AIC': -71702.41652757008, 'BIC': -71678.7512535455}",CS
3033,31,weibull_min,"(19075818.056797583, -460579.8855767046, 460580.83586465544)","{'AIC': -1988.4477195440409, 'BIC': -1976.0216073272788}",CS
479,169,exponpow,"(1.5352579708545142, 0.40011067889428004, 0.4764146903606559)","{'AIC': -12309.137484616364, 'BIC': -12286.455338075064}",CS
2893,33,exponpow,"(1.9139174635590683, 0.281633090706827, 0.5844028653317994)","{'AIC': -320.76802093541176, 'BIC': -307.960732084293}",CS
1448,69,exponpow,"(2217.1304285839988, -146.02396589712072, 146.9840384027105)","{'AIC': -6246.338223431454, 'BIC': -6229.056822343814}",CS
720,133,exponpow,"(5.520330871311499, 0.057665833267306135, 0.8275436451715181)","{'AIC': -13190.043577984532, 'BIC': -13168.803566373788}",CS
830,107,exponpow,"(512111.9024746723, -52152.53014083205, 52153.467514297525)","{'AIC': -10883.299360515033, 'BIC': -10863.369998270991}",CS
2177,82,exponpow,"(81128990.95854595, -14412895.34376955, 14412896.26322528)","{'AIC': -2462.3685759245286, 'BIC': -2444.0445122603983}",CS
2095,38,exponpow,"(2.7686959911380598, 0.32821571508620273, 0.5786735927790758)","{'AIC': -774.3249922275402, 'BIC': -760.6589215521082}",CS
1876,48,exponpow,"(36239.49903406991, -2841.088683873867, 2842.0279064289384)","{'AIC': -2835.493726134716, 'BIC': -2820.409121838542}",CS
843,87,exponpow,"(118035480.11999768, -17288927.094970264, 17288928.004793346)","{'AIC': -4255.1281675268765, 'BIC': -4236.446842823832}",CS
1258,84,weibull_min,"(5.076929130087467, 0.7489836303643931, 0.17175334691968674)","{'AIC': -13424.105200592207, 'BIC': -13405.635669913967}",CS
809,90,exponpow,"(230458519.52508295, -21524664.14746055, 21524665.07193111)","{'AIC': -7723.481949424994, 'BIC': -7704.596052846487}",CS
547,163,exponpow,"(585222606.1267691, -34560891.28372317, 34560892.22875824)","{'AIC': -40032.486541357874, 'BIC': -40010.02194329144}",CS
706,153,exponpow,"(1.6126683783668416, 0.2740765799645178, 0.5814391928275753)","{'AIC': -5896.427214902837, 'BIC': -5874.3437011178}",CS
