Taraf,Hadith Count,Best Distribution Name,Best Dist Params,Best Fit Metrics,Similarity Metric
852,119,gamma,"(2.979190427763354, 0.01930735129581833, 0.10471078959387489)","{'AIC': -5798.478090544924, 'BIC': -5777.908107733872}",JS
760,122,exponpow,"(1.2989195119329753, 0.025459323094917552, 0.5704539284625109)","{'AIC': -3081.195476172553, 'BIC': -3060.4754829432427}",JS
636,138,weibull_min,"(1.683118474048541, 0.03723367418729458, 0.41084681836208614)","{'AIC': -3258.8078174911448, 'BIC': -3237.3455551998686}",JS
1360,69,gamma,"(3.547627189189316, 0.10637046133967411, 0.10021137514619671)","{'AIC': -1632.27407065317, 'BIC': -1614.9926695655297}",JS
1950,59,gamma,"(2.027692944294748, 0.0041316863104724506, 0.14189246221080742)","{'AIC': -1245.5854717988873, 'BIC': -1229.2509719772106}",JS
380,188,gamma,"(3.2352642089888786, -0.0042601900865079, 0.1417923704424333)","{'AIC': -2055.3056267334755, 'BIC': -2031.9824165361017}",JS
1557,66,exponpow,"(1.4047771907297575, 0.027851030950216064, 0.6312496004148068)","{'AIC': -550.0978717245075, 'BIC': -533.0851872304212}",JS
2762,33,gamma,"(2.6822006710935584, 0.11784123659119661, 0.10365730279601801)","{'AIC': -512.1270409639612, 'BIC': -499.3197521128425}",JS
632,131,gamma,"(2.1935393374875414, 0.02356332002735411, 0.16782455784723527)","{'AIC': -2430.4956900647435, 'BIC': -2409.346936285453}",JS
876,107,gamma,"(2.7479774154357646, 0.017816371071499013, 0.09800673026247536)","{'AIC': -6017.312841819763, 'BIC': -5997.383479575721}",JS
469,177,weibull_min,"(3.409434671083653, -0.05747879782554551, 0.5803417272176832)","{'AIC': -11281.305276104755, 'BIC': -11258.3448164636}",JS
611,132,gamma,"(17.551719357187153, -0.23561931796895613, 0.036769378842436876)","{'AIC': -8135.7581421753475, 'BIC': -8114.563585979665}",JS
473,170,gamma,"(2.5580240664032052, 0.04289188151604904, 0.16928686475660754)","{'AIC': -887.5566522484902, 'BIC': -864.83900233425}",JS
2066,41,exponpow,"(94097719.68945679, -25776581.246773917, 25776582.235417176)","{'AIC': 157.5523567257839, 'BIC': 171.6802697465588}",JS
402,199,gamma,"(10.348125346685759, -0.018100821877825676, 0.040503173245956925)","{'AIC': -25685.048303156065, 'BIC': -25661.383029131488}",JS
3033,31,exponpow,"(3.2803719453688713, 0.043679471198700276, 0.78134806730312)","{'AIC': -370.9433559643044, 'BIC': -358.5172437475423}",JS
479,169,exponpow,"(1.1828405121308134, 0.0356851161939782, 0.6651213088516412)","{'AIC': -897.8473939457704, 'BIC': -875.1652474044712}",JS
2893,33,exponpow,"(0.7116585262188435, 0.019999999999999997, 0.3860842725320861)","{'AIC': -550.2222117385719, 'BIC': -537.4149228874531}",JS
1448,69,weibull_min,"(4.404485591035041, -0.27465575079469995, 0.7979630122789878)","{'AIC': -1239.9199573319265, 'BIC': -1222.6385562442863}",JS
720,133,gamma,"(6.807333976308551, -0.056592707398680483, 0.04224204366053319)","{'AIC': -14691.813855229098, 'BIC': -14670.573843618355}",JS
830,107,gamma,"(2.091807287794508, 0.015558290468591304, 0.16486066980378133)","{'AIC': -2192.2386950578148, 'BIC': -2172.3093328137725}",JS
2177,82,gamma,"(4.0965469421100416, 0.005735085450599469, 0.09658454583677573)","{'AIC': -1985.2124599237923, 'BIC': -1966.888396259662}",JS
2095,38,weibull_min,"(3.7641739871228888, -0.139611459260717, 0.7584788886944593)","{'AIC': -241.73425231848066, 'BIC': -228.06818164304866}",JS
1876,48,gamma,"(1.92309465050915, 0.058791531768729095, 0.16010087872837891)","{'AIC': -631.9038967908208, 'BIC': -616.8192924946468}",JS
843,87,weibull_min,"(1.7733664693240403, 0.011333637791310275, 0.43768566676692594)","{'AIC': -1081.6144131801323, 'BIC': -1062.9330884770877}",JS
1258,84,gamma,"(58.36550536485366, -0.7296833896280089, 0.020876705332877325)","{'AIC': -2940.059839730165, 'BIC': -2921.590309051925}",JS
809,90,gamma,"(8.27509317824397, -0.10769654436701948, 0.05590130889260089)","{'AIC': -3599.4646097285267, 'BIC': -3580.578713150019}",JS
547,163,gamma,"(2.33743309181854, 0.06638773881530677, 0.12440750165131413)","{'AIC': -10533.441482608137, 'BIC': -10510.9768845417}",JS
706,153,gamma,"(2.1561001552280503, 0.040082471761578364, 0.18477219248342658)","{'AIC': -1360.1608621426237, 'BIC': -1338.0773483575874}",JS
