,0
0,0.8584113
1,0.91626596
2,0.79895306
3,0.72750974
4,0.87305164
5,0.7559892
6,0.75413215
7,0.8552921
8,0.8032024
9,0.91023177
10,0.7577828
11,0.8820232
12,0.7733404
13,0.92101717
14,0.9761337
15,0.5196003
16,0.48660517
17,0.48812047
18,0.4218436
19,0.41588226
20,0.44768316
21,0.7330629
22,0.8472355
23,0.68768203
24,0.7894942
25,0.80296135
26,0.8418878
27,0.4413693
28,0.7537055
29,0.8802056
30,0.73152864
31,0.83489746
32,0.8522346
33,0.8840689
34,0.47110522
35,0.9369682
36,0.7597873
37,0.8777672
38,0.72076976
39,0.8214021
40,0.8543873
41,0.88477665
42,0.46387362
43,0.9445199
44,0.970407
45,0.7409406
46,0.88280374
47,0.6762657
48,0.8127146
49,0.80934376
50,0.8434387
51,0.4240897
52,0.89807403
53,0.9019501
54,0.9043722
55,0.44354236
56,0.50906914
57,0.40791106
58,0.47613972
59,0.470815
60,0.48933056
61,0.50577635
62,0.54225904
63,0.5486173
64,0.54737973
65,0.59445524
66,0.7611166
67,0.8781011
68,0.67996883
69,0.787379
70,0.7882693
71,0.81266177
72,0.39861315
73,0.87798744
74,0.858803
75,0.87288195
76,0.9633137
77,0.56599855
78,0.9513979
79,0.827366
80,0.9085797
81,0.7244755
82,0.73998654
83,0.74790716
84,0.5439513
85,0.745512
86,0.76347184
87,0.7613971
88,0.74121165
89,0.44138694
90,0.75234973
91,0.78201246
92,0.88804024
93,0.6936165
94,0.7873198
95,0.79073936
96,0.814358
97,0.4136186
98,0.8744021
99,0.85536176
100,0.86986285
101,0.95410454
102,0.57182205
103,0.985243
104,0.75583076
105,0.94889677
106,0.8551139
107,0.9179262
108,0.76108205
109,0.77979004
110,0.7859062
111,0.55619895
112,0.7665969
113,0.802603
114,0.79539347
115,0.7635242
116,0.45992061
117,0.76317203
118,0.9880316
119,0.7676482
120,0.4201948
121,0.50413036
122,0.40052834
123,0.47658056
124,0.49216387
125,0.5108364
126,0.66332215
127,0.5281217
128,0.56924045
129,0.54023796
130,0.52277106
131,0.67956114
132,0.4925804
133,0.43154174
134,0.49079254
135,0.4631799
136,0.4044472
137,0.51351523
138,0.39211354
139,0.471312
140,0.48496646
141,0.515422
142,0.69762444
143,0.53163946
144,0.58382154
145,0.5694033
146,0.5286422
147,0.60608315
148,0.47340408
149,0.41605937
150,0.4738695
151,0.45360553
152,0.81367576
153,0.91362303
154,0.866268
155,0.93104756
156,0.83050394
157,0.8567548
158,0.84928185
159,0.48395026
160,0.7398493
161,0.7885907
162,0.784139
163,0.7419621
164,0.4495103
165,0.74004054
166,0.89337695
167,0.7521769
168,0.9182792
169,0.43663874
170,0.43280005
171,0.76948756
172,0.88738745
173,0.77361053
174,0.8696863
175,0.9119456
176,0.9270316
177,0.42726982
178,0.8849454
179,0.9271692
180,0.9395874
181,0.8673349
182,0.52078
183,0.834195
184,0.748014
185,0.8392503
186,0.785182
187,0.4954051
188,0.52696335
189,0.8535569
190,0.7558657
191,0.8478144
192,0.799127
193,0.897451
194,0.92654765
195,0.9173283
196,0.3996271
197,0.78644884
198,0.8302922
199,0.82711166
200,0.78858614
201,0.4641629
202,0.77692246
203,0.7348605
204,0.78039974
205,0.7696435
206,0.45433834
207,0.46874458
208,0.86829054
209,0.9073335
210,0.80575806
211,0.902162
212,0.81248116
213,0.92081124
214,0.9484662
215,0.9411849
216,0.4081972
217,0.82403326
218,0.87184405
219,0.87481016
220,0.8340564
221,0.4795825
222,0.8201088
223,0.7719641
224,0.8218769
225,0.8088677
226,0.47556275
227,0.48190123
228,0.8931128
229,0.9359717
230,0.9462152
231,0.977478
232,0.8727331
233,0.9346564
234,0.772141
235,0.80736643
236,0.8041953
237,0.51603997
238,0.760493
239,0.7945528
240,0.7942421
241,0.756507
242,0.44744104
243,0.77033687
244,0.9507652
245,0.7824651
246,0.9595459
247,0.42447975
248,0.4215466
249,0.94799197
250,0.8133109
251,0.8080036
252,0.84937024
253,0.76880765
254,0.88210344
255,0.7937758
256,0.91672873
257,0.9449968
258,0.9479664
259,0.40214598
260,0.8219234
261,0.86860096
262,0.8768735
263,0.82355386
264,0.47441137
265,0.7987371
266,0.74354696
267,0.7991595
268,0.7803421
269,0.46231765
270,0.48943716
271,0.8706548
272,0.948007
273,0.941591
274,0.97360885
275,0.8191062
276,0.7431023
277,0.82960975
278,0.80005276
279,0.87325275
280,0.9287381
281,0.9186238
282,0.39363524
283,0.7782551
284,0.8164488
285,0.82215214
286,0.77646023
287,0.4591443
288,0.7613846
289,0.71984947
290,0.7665875
291,0.7534062
292,0.4448547
293,0.47355625
294,0.8511988
295,0.9063025
296,0.9730083
297,0.92286634
298,0.79269195
299,0.9472637
300,0.6970843
301,0.83651406
302,0.7480009
303,0.9044148
304,0.8724778
305,0.8875158
306,0.4588864
307,0.81647134
308,0.86269045
309,0.8358173
310,0.79540044
311,0.4853631
312,0.7637368
313,0.70823467
314,0.7614902
315,0.7497699
316,0.5279723
317,0.551111
318,0.7916298
319,0.86284405
320,0.88557625
321,0.8746785
322,0.7496102
323,0.88427943
324,0.87879425
325,0.7755486
326,0.897069
327,0.695002
328,0.8074184
329,0.812705
330,0.8400483
331,0.40866292
332,0.89297837
333,0.89284986
334,0.903121
335,0.9597417
336,0.5572683
337,0.9702869
338,0.7595793
339,0.96005553
340,0.77974916
341,0.49653333
342,0.5013652
343,0.76045215
344,0.8678715
345,0.8049903
346,0.8497134
347,0.7905079
348,0.83373916
349,0.7897216
350,0.78737503
351,0.42915726
352,0.49126065
353,0.40325275
354,0.4357661
355,0.4294913
356,0.45540744
357,0.68614835
358,0.483787
359,0.53007567
360,0.5016061
361,0.47921115
362,0.6338005
363,0.44916084
364,0.4393192
365,0.44802758
366,0.46970126
367,0.8146256
368,0.81015915
369,0.43879747
370,0.4498221
371,0.42894906
372,0.4426846
373,0.44574556
374,0.42519033
375,0.40660655
376,0.5073821
377,0.4759124
378,0.7196028
379,0.8791287
380,0.7410854
381,0.8957345
382,0.8586123
383,0.88327825
384,0.47845453
385,0.81883335
386,0.88884753
387,0.86201036
388,0.82458043
389,0.51033103
390,0.7805518
391,0.7415968
392,0.77847767
393,0.7907593
394,0.5329517
395,0.5419078
396,0.8431046
397,0.887752
398,0.85318094
399,0.8895142
400,0.77409136
401,0.8752882
402,0.8248
403,0.88152003
404,0.806071
405,0.5101708
406,0.9225953
407,0.8626082
408,0.94921255
409,0.8277453
410,0.85470855
411,0.84076595
412,0.49149168
413,0.74085003
414,0.7901832
415,0.7827191
416,0.7453985
417,0.4569068
418,0.7423867
419,0.8959127
420,0.7570593
421,0.92046523
422,0.44619238
423,0.4360016
424,0.9880128
425,0.84574884
426,0.8592056
427,0.8874792
428,0.9528549
429,0.86152726
430,0.84479934
431,0.7940761
432,0.761733
433,0.44445673
434,0.8301785
435,0.74872637
436,0.911831
437,0.70361423
438,0.85327023
439,0.8331953
440,0.8661106
441,0.4338443
442,0.8734799
443,0.89941615
444,0.8898824
445,0.9552366
446,0.5787027
447,0.91236794
448,0.7455417
