,0
0,0.8331563
1,1.0550114
2,1.0794123
3,1.0024539
4,1.027767
5,1.0534583
6,0.7480013
7,1.0017507
8,1.0570831
9,0.7427721
10,0.75055027
11,0.9779189
12,1.0516388
13,0.77527034
14,0.2231364
15,0.886719
16,1.1401575
17,0.9831642
18,0.9629693
19,0.73976815
20,0.72751117
21,0.7927633
22,1.1460735
23,1.0825727
24,1.156533
25,0.8244951
26,0.84798896
27,0.9889546
28,0.7776174
29,1.1359999
30,1.0868413
31,1.1436336
32,0.7742907
33,0.78770524
34,0.93739086
35,0.4863664
36,0.78961647
37,1.1262141
38,1.0830437
39,1.1350182
40,0.77119213
41,0.7804293
42,0.9247649
43,0.45264468
44,0.17981662
45,1.2055874
46,1.235871
47,1.2579465
48,1.1282411
49,1.1957545
50,1.1862713
51,1.2225922
52,1.2183539
53,1.1364312
54,1.1314152
55,1.1338534
56,1.1805234
57,1.1614532
58,1.0001011
59,1.169737
60,1.1815838
61,1.1771717
62,1.145947
63,1.1648101
64,1.1661173
65,0.891552
66,1.1700485
67,1.2475368
68,1.2954297
69,1.2107406
70,1.2751272
71,1.2791203
72,1.3005471
73,1.073634
74,1.2550378
75,1.2500217
76,0.64088386
77,0.9701121
78,0.76850367
79,1.1168749
80,1.0497845
81,1.103516
82,0.77152896
83,0.82148516
84,0.8583405
85,0.60090715
86,0.7453395
87,0.7303632
88,1.2682829
89,1.1779425
90,1.2139946
91,1.1700485
92,1.2475368
93,1.2954297
94,1.2107406
95,1.2751272
96,1.2791203
97,1.3005471
98,1.073634
99,1.2550378
100,1.2500217
101,0.64088386
102,0.9701121
103,0.0
104,1.2139946
105,0.83487785
106,1.0991317
107,1.0341821
108,0.996429
109,0.7112617
110,0.81413966
111,0.87224585
112,0.6468355
113,0.69856364
114,0.6686688
115,1.2781764
116,1.1782398
117,1.3118398
118,0.3568819
119,1.3118398
120,0.9406579
121,1.1627678
122,1.1717843
123,1.2125599
124,0.862287
125,0.9573728
126,1.043433
127,0.75882626
128,0.67946696
129,0.6761429
130,1.0316148
131,1.1804465
132,1.1438457
133,0.9533167
134,1.1438457
135,0.93126005
136,0.88916093
137,1.1453065
138,1.1236376
139,1.1623856
140,0.84973323
141,0.7984526
142,1.0186864
143,0.71188426
144,0.6140501
145,0.45263618
146,1.057949
147,1.2148433
148,1.2003552
149,0.7939559
150,1.2003552
151,0.8072555
152,0.7804337
153,0.24998307
154,0.9962744
155,1.0431015
156,1.0455828
157,0.7294243
158,0.7339581
159,0.92647064
160,0.6007476
161,0.78042954
162,0.7693926
163,1.2058942
164,1.1420683
165,1.1766176
166,0.6615247
167,1.1766176
168,0.74070066
169,0.93980604
170,0.8179979
171,0.7893638
172,1.1318548
173,1.0901327
174,1.1364201
175,0.7803292
176,0.78830206
177,0.9344039
178,0.52012074
179,0.30666962
180,0.16015066
181,1.1381034
182,1.1733079
183,1.237885
184,0.7612864
185,1.237885
186,0.70674324
187,0.67507255
188,0.35343185
189,0.76909435
190,0.7333324
191,0.9378459
192,1.0235753
193,0.7603215
194,0.45620462
195,0.5305045
196,0.8111516
197,0.84184855
198,0.7546959
199,0.74891603
200,1.1458912
201,1.1651804
202,1.2447041
203,0.7920707
204,1.2447041
205,0.7651898
206,0.8027925
207,0.77751046
208,0.7202947
209,0.7404683
210,0.71255153
211,0.9265672
212,1.0330902
213,0.76144826
214,0.47834027
215,0.55103236
216,0.8670979
217,0.831726
218,0.73958516
219,0.7291611
220,1.1375577
221,1.1743114
222,1.2346971
223,0.78440905
224,1.2346971
225,0.76663125
226,0.76941156
227,0.77028424
228,0.7162266
229,0.7182947
230,0.09707914
231,0.2350525
232,0.992358
233,1.0416063
234,1.0413693
235,0.68022215
236,0.6701941
237,0.84340924
238,0.75995606
239,0.62122107
240,0.61018413
241,1.1463349
242,1.1490142
243,1.2563192
244,0.7377605
245,1.2563192
246,0.7233172
247,0.8753895
248,0.7299845
249,0.15920848
250,0.6098859
251,0.6360198
252,0.62338483
253,0.7198544
254,0.9462869
255,1.0418386
256,0.82705
257,0.62608373
258,0.5767564
259,0.85285205
260,0.8651461
261,0.7116932
262,0.6236337
263,1.171469
264,1.2058876
265,1.256819
266,0.84866506
267,1.256819
268,0.83034533
269,0.91899914
270,0.6063145
271,0.7736207
272,0.53038806
273,0.42675817
274,0.421913
275,0.6370832
276,0.65532476
277,0.9758696
278,1.0665786
279,0.8649326
280,0.46288845
281,0.4175557
282,0.7875072
283,0.80879384
284,0.68776435
285,0.6152019
286,1.1829493
287,1.1818672
288,1.2658321
289,0.79542285
290,1.2658321
291,0.7826344
292,0.9002987
293,0.65449876
294,0.68460363
295,0.54013187
296,0.46760827
297,0.52177346
298,0.56985044
299,0.33311468
300,0.8698725
301,1.046746
302,1.1069068
303,0.72349083
304,0.6736499
305,0.61257637
306,0.85985446
307,0.8848847
308,0.9161211
309,0.913075
310,1.2816973
311,1.2055447
312,1.3333039
313,0.893679
314,1.3333039
315,0.8694334
316,1.079616
317,0.9588592
318,0.79949266
319,0.9161132
320,0.6497167
321,0.70386684
322,0.8300767
323,0.6989091
324,0.6429251
325,1.1591897
326,1.1906999
327,1.1958244
328,1.0935519
329,1.1423194
330,1.1442071
331,1.1607265
332,1.1645329
333,1.0677297
334,1.0657141
335,0.67476845
336,0.80356526
337,0.5098767
338,1.2059764
339,0.5098767
340,1.2231501
341,0.9481028
342,1.003759
343,1.1430812
344,1.0628978
345,1.1008012
346,1.0973903
347,1.0798897
348,1.1273977
349,1.1360852
350,1.2481184
351,1.1637614
352,1.1569562
353,1.18921
354,1.1511497
355,1.084223
356,1.10364
357,1.1738677
358,0.9650672
359,1.0308274
360,1.0237008
361,1.0307698
362,1.1527748
363,1.1875162
364,0.9919386
365,1.1875162
366,0.97597617
367,1.1855232
368,0.9835552
369,1.0853173
370,1.0395179
371,0.9948051
372,0.9885561
373,1.0693324
374,1.1121645
375,1.1129959
376,1.1089368
377,1.1190139
378,0.9615676
379,1.0791484
380,1.0647691
381,1.1223248
382,0.91199934
383,0.91549593
384,0.75259435
385,0.86530226
386,0.90554494
387,0.8870977
388,1.2591597
389,1.197801
390,1.3076818
391,0.7098788
392,1.3076818
393,0.7415911
394,1.1110843
395,0.9597582
396,0.8628337
397,0.9142645
398,0.95311916
399,0.97178715
400,0.85773987
401,0.9764351
402,0.9220635
403,0.9702579
404,1.2218219
405,1.0358446
406,0.44602215
407,1.0037395
408,1.0725762
409,1.0618654
410,0.76465595
411,0.7405094
412,0.91202545
413,0.7407114
414,0.78339016
415,0.77325684
416,1.1441071
417,1.1718931
418,1.2481501
419,0.8268514
420,1.2481501
421,0.84728223
422,0.8237738
423,0.8154291
424,0.3002612
425,0.766587
426,0.75868046
427,0.74597955
428,0.31519178
429,0.7106075
430,0.63670105
431,0.84127873
432,1.058454
433,1.1839218
434,0.96355957
435,1.1543694
436,1.2469357
437,1.2660416
438,1.1413594
439,1.2602546
440,1.2541773
441,1.2750252
442,1.0454333
443,1.2481444
444,1.2431283
445,0.35240188
446,0.7903272
447,0.34635422
448,1.2006657
449,0.34635422
450,1.2983787
451,1.1484294
452,1.1832191
453,1.1540936
454,1.2366906
455,1.2334032
456,1.2293415
457,1.2402364
458,1.2498842
459,1.2559572
460,1.307294
461,0.794905
462,1.000617
463,1.2780339
464,1.2269853
465,0.9507336
466,0.9889808
467,1.145205
468,0.76665336
469,0.93252635
470,0.9036631
471,1.0888016
472,1.1155533
473,1.1967663
474,1.1858729
475,0.9650506
476,1.1268877
477,0.7783044
478,1.1146411
479,0.7783044
480,1.1800462
481,1.1777372
482,1.1783522
483,1.0111583
484,1.1709592
485,0.6993269
486,0.7006161
487,1.0855621
488,0.8158074
489,0.9260535
490,0.98293185
491,0.88536495
492,1.1922312
493,1.1844807
494,1.0964044
495,0.9167095
496,0.35557678
497,1.0048325
498,1.0641183
499,1.0604217
500,0.6990931
501,0.6994709
502,0.9020382
503,0.7859988
504,0.74174535
505,0.7307084
506,1.1533037
507,1.1628461
508,1.266222
509,0.7242775
510,1.266222
511,0.7362982
512,0.88239837
513,0.7709293
514,0.18525124
515,0.73041016
516,0.6712502
517,0.66106814
518,0.12052431
519,0.7419749
520,0.6585103
521,0.86275244
522,1.09077
523,1.1048961
524,0.8529263
525,0.34102005
526,1.2456404
527,1.0929539
528,0.89448595
529,1.1457406
530,1.1022981
531,1.1103982
532,0.719164
533,0.8295167
534,0.9754961
535,0.56325424
536,0.46002218
537,0.45822382
538,1.0736383
539,1.1283739
540,1.2068278
541,0.72867507
542,1.2068278
543,0.66551214
544,0.43643966
545,0.5920371
546,0.80705833
547,0.478023
548,0.565114
549,0.5327662
550,0.7142166
551,0.7956067
552,0.76307195
553,0.92635304
554,1.0004365
555,0.77897716
556,0.9004359
557,0.8042453
558,1.2001508
559,1.1664507
560,0.750439
561,0.47787198
562,1.0310662
563,1.0626357
564,0.9217739
565,0.5917505
566,0.5666001
567,0.7988246
568,0.83518505
569,0.7966444
570,0.78480583
571,1.1745435
572,1.1759757
573,1.2804312
574,0.78183323
575,1.2804312
576,0.77639574
577,0.9315929
578,0.82255423
579,0.3336121
580,0.785561
581,0.54132634
582,0.5654792
583,0.2768884
584,0.5883361
585,0.58952194
586,0.71172196
587,1.1173202
588,1.122134
589,0.8828997
590,0.4538137
591,1.2588848
592,0.9509259
593,0.17871857
594,0.8058713
595,0.9494702
596,1.0270646
597,1.0354369
598,0.48300523
599,0.7022577
600,0.74086887
601,0.9406318
602,1.0379487
603,1.0100862
604,0.99651587
605,1.2719998
606,1.2056109
607,1.3151603
608,0.98019946
609,1.3151603
610,0.8575088
611,1.1673778
612,1.0317048
613,0.9384504
614,1.0035572
615,0.5955208
616,0.65567225
617,0.92178065
618,0.7650779
619,0.6493033
620,0.61716825
621,1.246725
622,1.0222676
623,1.0398482
624,1.0009533
625,1.3020976
626,0.9280414
627,0.9513197
628,0.9303723
629,0.8585482
630,0.8743808
631,0.924617
632,1.0944308
633,0.7301989
634,0.9199592
635,0.8906183
636,1.0244145
637,1.0498012
638,1.145472
639,1.1421707
640,0.7650508
641,0.9709595
642,0.8805633
643,1.0588156
644,0.8805633
645,1.1376095
646,1.1404756
647,1.1201215
648,0.9362989
649,1.1359853
650,0.64915687
651,0.6840845
652,1.0203619
653,0.83025825
654,0.79198194
655,0.92739415
656,0.9705713
657,1.0497048
658,1.1464287
659,1.0321512
660,0.71237075
661,0.40994647
662,1.0278457
663,1.1110106
664,0.9517582
665,0.7981803
666,1.1543694
667,1.2469357
668,1.2660416
669,1.1413594
670,1.2602546
671,1.2541773
672,1.2750252
673,1.0454333
674,1.2481444
675,1.2431283
676,0.35240188
677,0.7903272
678,0.34635422
679,1.2006657
680,0.34635422
681,1.2983787
682,1.1484294
683,1.1832191
684,1.1540936
685,1.2366906
686,1.2334032
687,1.2293415
688,1.2402364
689,1.2498842
690,1.2559572
691,1.307294
692,0.794905
693,1.000617
694,1.2780339
695,1.2269853
696,0.0
697,0.9167095
698,1.2456404
699,1.2001508
700,1.2588848
701,1.3020976
702,0.71237075
703,0.8883994
704,1.1213412
705,1.0939447
706,1.0944341
707,0.7624658
708,0.8113746
709,0.97228175
710,0.41333666
711,0.37551138
712,0.35114044
713,1.1058488
714,1.1381769
715,1.2288616
716,0.6880508
717,1.2288616
718,0.61473525
719,0.6222358
720,0.6120724
721,0.8017198
722,0.4263593
723,0.6692059
724,0.6442245
725,0.708878
726,0.79747915
727,0.7592831
728,0.91562206
729,1.0354261
730,0.73194605
731,0.8889309
732,0.7956721
733,1.2214824
734,1.191222
735,0.74294364
736,0.22866166
737,0.7989472
738,0.90184796
739,1.132548
740,1.2214824
741,1.1720071
742,1.1732485
743,1.1935155
744,1.1277815
745,1.0715482
746,1.086193
747,1.1617209
748,0.985949
749,1.0317298
750,1.008909
751,1.310033
752,1.1623236
753,1.3408191
754,0.96960366
755,1.3408191
756,0.93400294
757,1.2518679
758,0.9951737
759,1.0909722
760,1.0339929
761,0.9995831
762,1.0017172
763,1.0714973
764,1.1065577
765,1.1006824
766,1.0740672
767,1.2655443
768,0.4711137
769,1.0052491
770,1.1939621
771,1.3199897
772,1.2835947
773,1.1091807
774,0.8154282
775,1.1220299
776,0.9835916
777,1.2213751
778,1.3199897
779,0.7340197
780,1.1543694
781,1.2469357
782,1.2660416
783,1.1413594
784,1.2602546
785,1.2541773
786,1.2750252
787,1.0454333
788,1.2481444
789,1.2431283
790,0.35240188
791,0.7903272
792,0.34635422
793,1.2006657
794,0.34635422
795,1.2983787
796,1.1484294
797,1.1832191
798,1.1540936
799,1.2366906
800,1.2334032
801,1.2293415
802,1.2402364
803,1.2498842
804,1.2559572
805,1.307294
806,0.794905
807,1.000617
808,1.2780339
809,1.2269853
810,0.0
811,0.9167095
812,1.2456404
813,1.2001508
814,1.2588848
815,1.3020976
816,0.71237075
817,0.0
818,1.2214824
819,1.3199897
820,1.2079864
821,1.2275703
822,1.2871469
823,1.2012391
824,1.183505
825,1.192971
826,1.2194957
827,1.1725417
828,1.0553328
829,1.0472966
830,1.0400087
831,1.2486691
832,1.1616172
833,1.2391188
834,1.1616172
835,1.2125642
836,0.8639688
837,1.0366849
838,1.2331951
839,1.070038
840,1.0566587
841,1.0280443
842,1.1403533
843,1.1380852
844,1.171208
845,1.2304189
846,1.0276588
847,0.82576185
848,1.2558295
849,1.1472865
850,1.1354189
851,1.2368853
852,1.1780366
853,0.83969045
854,1.1904619
855,1.1338359
856,1.2144628
857,1.1354189
858,0.75920504
859,0.62904906
860,1.1354189
861,0.9009826
862,0.93345606
863,1.1156743
864,0.7570753
865,0.95063347
866,0.92056173
867,1.0974838
868,1.0617292
869,1.1695776
870,1.1656659
871,0.7116987
872,0.97737765
873,0.83231753
874,1.0910609
875,0.83231753
876,1.1680144
877,1.1489803
878,1.1391947
879,0.9742247
880,1.1561654
881,0.74755126
882,0.71057975
883,1.0581385
884,0.8538837
885,0.870131
886,0.9933252
887,0.96240187
888,1.0624807
889,1.1806384
890,1.0518018
891,0.64465374
892,0.42240283
893,1.0657715
894,1.1360284
895,0.987709
896,0.87264067
897,0.11445008
898,0.64465374
899,1.1575141
900,1.2558149
901,0.64465374
902,1.1984112
903,0.7134388
904,0.874955
905,1.0405346
906,0.7802267
907,0.61018044
908,0.5866569
909,0.88691217
910,0.87393874
911,0.77437913
912,0.75985116
913,1.1443206
914,1.2031733
915,1.2520481
916,0.88809544
917,1.2520481
918,0.8446307
919,0.8087338
920,0.8571204
921,0.800894
922,0.7592853
923,0.40110344
924,0.34167117
925,0.72591853
926,0.4218062
927,0.5104012
928,0.73665583
929,1.1047114
930,1.2148443
931,1.0728014
932,0.5928578
933,1.2472634
934,0.70667833
935,0.7447013
936,0.8001455
937,0.63074654
938,0.78343976
939,0.70442265
940,1.2472634
941,0.7838538
942,1.2219381
943,1.2472634
944,1.1103343
945,0.68589455
946,0.8807978
947,0.9786212
948,0.9938579
949,1.0378556
950,0.82736456
951,0.74463165
952,0.8358546
953,0.7947579
954,0.8126831
955,0.78893423
956,1.2370054
957,1.1726342
958,1.2710183
959,0.66411024
960,1.2710183
961,0.5733816
962,1.0454671
963,0.79098094
964,0.78908724
965,0.8234624
966,0.8075082
967,0.8154777
968,0.7716559
969,0.81119084
970,0.8197732
971,0.87701374
972,1.186093
973,1.003643
974,0.5766324
975,0.8921392
976,1.2478968
977,1.0872972
978,0.8038291
979,0.8306046
980,0.8132865
981,0.8966365
982,1.031713
983,1.2478968
984,0.8029366
985,0.98156846
986,1.2478968
987,1.2101539
988,1.063785
989,0.91271186
990,0.99118704
991,0.9620817
992,1.1255665
993,0.7563224
994,0.85641474
995,0.80909723
996,1.0405726
997,1.1599573
998,1.0994945
999,1.0881472
1000,0.9259469
1001,1.1245297
1002,0.86349773
1003,1.1586888
1004,0.86349773
